Temperature,Simulations,Return
500,7,222.0
500,3,498.0
500,13,444.0
500,1,10.0
500,1,10.0
500,1,9.0
500,1,10.0
500,14,500.0
500,7,261.0
500,7,431.0
500,2,29.0
500,11,500.0
500,7,470.0
500,12,398.0
500,13,368.0
500,16,500.0
500,3,208.0
500,4,123.0
500,13,378.0
500,1,9.0
500,3,500.0
500,4,211.0
500,16,331.0
500,3,497.0
500,6,500.0
500,14,354.0
500,4,154.0
500,7,500.0
500,4,204.0
500,9,401.0
500,6,188.0
500,9,135.0
500,15,445.0
500,5,266.0
500,16,500.0
500,8,211.0
500,2,208.0
500,7,206.0
500,6,270.0
500,14,437.0
500,15,241.0
500,15,320.0
500,14,500.0
500,13,336.0
500,9,413.0
500,2,275.0
500,4,251.0
500,6,190.0
500,7,500.0
500,13,390.0
500,9,359.0
500,7,500.0
500,9,296.0
500,6,269.0
500,2,263.0
500,1,10.0
500,3,207.0
500,2,38.0
500,10,242.0
500,9,317.0
500,15,500.0
500,6,441.0
500,1,10.0
500,3,204.0
500,9,240.0
500,12,262.0
500,14,355.0
500,9,202.0
500,6,478.0
500,13,500.0
500,6,208.0
500,1,10.0
500,4,139.0
500,6,432.0
500,4,252.0
500,12,148.0
500,1,10.0
500,13,268.0
500,13,356.0
500,5,216.0
500,13,238.0
500,9,500.0
500,8,277.0
500,9,191.0
500,12,500.0
500,3,500.0
500,8,355.0
500,8,316.0
500,3,162.0
500,4,288.0
500,14,500.0
500,15,484.0
500,10,233.0
500,13,325.0
500,13,212.0
500,1,9.0
500,10,228.0
500,5,248.0
500,12,337.0
500,7,262.0
500,12,500.0
500,3,180.0
500,4,234.0
500,14,500.0
500,13,500.0
500,3,307.0
500,9,500.0
500,13,352.0
500,6,500.0
500,1,9.0
500,7,196.0
500,16,253.0
500,6,166.0
500,9,316.0
500,11,187.0
500,13,500.0
500,5,350.0
500,14,500.0
500,11,188.0
500,11,172.0
500,10,216.0
500,6,500.0
500,13,500.0
500,1,10.0
500,9,193.0
500,13,398.0
500,12,454.0
500,2,488.0
500,15,251.0
500,4,163.0
500,5,500.0
500,9,229.0
500,14,418.0
500,6,500.0
500,4,199.0
500,2,277.0
500,7,500.0
500,2,102.0
500,3,225.0
500,12,194.0
500,9,369.0
500,1,10.0
500,3,263.0
500,5,179.0
500,10,276.0
500,13,216.0
500,16,373.0
500,2,412.0
500,6,500.0
500,16,314.0
500,1,9.0
500,12,334.0
500,1,8.0
500,8,313.0
500,9,214.0
500,11,254.0
500,10,227.0
500,6,500.0
500,6,196.0
500,3,269.0
500,7,397.0
500,12,202.0
500,14,249.0
500,14,306.0
500,12,316.0
500,13,268.0
500,10,333.0
500,14,500.0
500,10,200.0
500,16,237.0
500,11,202.0
500,3,279.0
500,12,211.0
500,6,292.0
500,2,344.0
500,7,237.0
500,15,500.0
500,13,343.0
500,3,201.0
500,5,169.0
500,7,245.0
500,12,466.0
500,5,233.0
500,10,158.0
500,7,340.0
500,8,342.0
500,7,261.0
500,14,500.0
500,16,500.0
500,9,252.0
500,4,180.0
500,5,386.0
500,1,10.0
500,15,500.0
500,13,500.0
500,4,213.0
500,15,443.0
500,3,182.0
500,13,323.0
500,3,28.0
500,4,164.0
500,15,334.0
500,16,500.0
500,5,181.0
500,2,135.0
500,8,213.0
500,13,406.0
500,3,299.0
500,4,233.0
500,8,363.0
500,8,314.0
500,12,500.0
500,13,500.0
500,1,9.0
500,6,367.0
500,5,188.0
500,2,379.0
500,10,290.0
500,7,500.0
500,3,238.0
500,2,236.0
500,5,336.0
500,11,177.0
500,13,470.0
500,3,292.0
500,2,497.0
500,4,122.0
500,12,343.0
500,11,257.0
500,3,180.0
500,13,208.0
500,7,500.0
500,9,171.0
500,9,254.0
500,13,304.0
500,4,237.0
500,4,374.0
500,13,352.0
500,16,500.0
500,8,375.0
500,9,207.0
500,2,341.0
500,2,340.0
500,5,298.0
500,11,258.0
500,5,200.0
500,2,76.0
500,16,500.0
500,7,222.0
500,14,500.0
500,11,185.0
500,2,200.0
500,2,213.0
500,5,186.0
500,6,500.0
500,4,132.0
500,15,304.0
500,13,500.0
500,1,10.0
500,5,500.0
500,11,303.0
500,5,259.0
500,8,500.0
500,1,10.0
500,3,500.0
500,6,293.0
500,16,500.0
500,11,201.0
500,16,316.0
500,11,251.0
500,13,402.0
500,4,235.0
500,3,356.0
500,6,272.0
500,4,149.0
500,5,162.0
500,7,310.0
500,13,500.0
500,11,384.0
500,5,197.0
500,2,192.0
500,1,10.0
500,13,500.0
500,10,215.0
500,7,457.0
500,14,300.0
500,2,175.0
500,10,253.0
500,14,292.0
500,1,10.0
500,6,390.0
500,3,500.0
500,4,180.0
500,10,230.0
500,10,205.0
500,14,237.0
500,5,209.0
500,11,332.0
500,5,250.0
500,8,266.0
500,2,282.0
500,6,235.0
500,14,271.0
500,15,500.0
500,1,10.0
500,10,191.0
500,4,123.0
500,12,500.0
500,7,231.0
500,16,299.0
500,1,10.0
500,10,200.0
500,12,233.0
500,15,279.0
500,2,50.0
500,6,308.0
500,13,500.0
500,15,500.0
500,16,500.0
500,14,402.0
500,11,383.0
500,9,428.0
500,16,350.0
500,8,479.0
500,3,212.0
500,9,210.0
500,12,264.0
500,3,160.0
500,16,284.0
500,5,259.0
500,15,250.0
500,5,134.0
500,1,9.0
500,7,242.0
500,12,429.0
500,5,190.0
500,2,175.0
500,16,500.0
500,3,261.0
500,5,302.0
500,1,9.0
500,1,9.0
500,11,292.0
500,7,500.0
500,14,500.0
500,3,378.0
500,7,161.0
500,1,9.0
500,8,333.0
500,13,500.0
500,11,233.0
500,1,11.0
500,9,187.0
500,1,9.0
500,2,289.0
500,3,500.0
500,7,364.0
500,10,248.0
500,11,500.0
500,6,281.0
500,2,323.0
500,4,215.0
500,10,226.0
500,11,371.0
500,16,500.0
500,11,277.0
500,8,177.0
500,4,165.0
500,5,162.0
500,15,247.0
500,1,9.0
500,14,500.0
500,3,139.0
500,13,363.0
500,8,278.0
500,1,9.0
500,16,378.0
500,4,172.0
500,16,299.0
500,15,258.0
500,13,482.0
500,13,489.0
500,14,500.0
500,3,174.0
500,6,170.0
500,2,185.0
500,8,336.0
500,9,216.0
500,15,500.0
500,7,450.0
500,7,500.0
500,15,367.0
500,15,500.0
500,1,10.0
500,15,500.0
500,2,212.0
