Temperature,Simulations,Return
500,20,253.0
500,68,481.0
500,36,316.0
500,16,254.0
500,34,500.0
500,75,357.0
500,96,340.0
500,64,472.0
500,92,316.0
500,28,500.0
500,48,242.0
500,7,471.0
500,52,345.0
500,33,500.0
500,92,331.0
500,22,277.0
500,27,365.0
500,58,500.0
500,29,500.0
500,45,215.0
500,64,500.0
500,15,376.0
500,51,299.0
500,91,356.0
500,50,327.0
500,11,500.0
500,9,188.0
500,45,381.0
500,4,180.0
500,16,500.0
500,23,219.0
500,24,344.0
500,43,279.0
500,21,235.0
500,11,257.0
500,94,311.0
500,31,500.0
500,59,361.0
500,91,340.0
500,40,500.0
500,25,500.0
500,24,420.0
500,6,500.0
500,2,261.0
500,73,500.0
500,70,480.0
500,85,339.0
500,89,467.0
500,28,500.0
500,27,352.0
500,96,339.0
500,3,476.0
500,74,500.0
500,41,352.0
500,17,500.0
500,44,330.0
500,93,367.0
500,59,500.0
500,27,366.0
500,54,500.0
500,54,500.0
500,18,304.0
500,47,456.0
500,15,500.0
500,60,313.0
500,65,500.0
500,19,372.0
500,55,388.0
500,71,500.0
500,20,228.0
500,5,230.0
500,21,300.0
500,74,500.0
500,49,332.0
500,23,251.0
500,68,500.0
500,39,500.0
500,49,318.0
500,86,369.0
500,75,500.0
500,35,500.0
500,67,500.0
500,22,288.0
500,29,500.0
500,69,500.0
500,91,276.0
500,30,500.0
500,79,376.0
500,86,259.0
500,1,9.0
500,90,500.0
500,75,362.0
500,13,500.0
500,7,499.0
500,15,500.0
500,63,342.0
500,31,500.0
500,29,500.0
500,24,271.0
500,30,500.0
