Temperature,Simulations,Return,Discounted Return
1,3,0.0,0.0
1,39,1.0,0.9733217421754432
1,44,1.0,0.9616943356035061
1,67,1.0,0.9248559951318693
1,44,1.0,0.9791880578299021
1,31,1.0,0.7816331707050701
1,72,1.0,0.9704017769489168
1,91,1.0,0.9388545698794984
1,100,1.0,0.9821344612135428
1,59,1.0,0.9616943356035061
1,2,0.0,0.0
1,36,1.0,0.9704017769489168
1,62,1.0,0.9674905716180701
1,50,1.0,0.9616943356035061
1,96,1.0,0.9762504936564125
1,70,1.0,0.9791880578299021
1,92,1.0,0.985089730404757
1,40,1.0,0.9416796087056153
1,91,1.0,0.9616943356035061
1,29,0.0,0.0
1,2,1.0,0.9791880578299021
1,79,1.0,0.9473552137914398
1,2,0.0,0.0
1,50,1.0,0.9083329444789534
1,57,1.0,0.9821344612135428
1,45,1.0,0.9502058312852957
1,67,1.0,0.9165572373164391
1,33,1.0,0.9473552137914398
1,14,0.0,0.0
1,71,1.0,0.9530650263643888
1,63,1.0,0.9791880578299021
1,54,1.0,0.9445131481500655
1,52,1.0,0.9616943356035061
1,16,1.0,0.8867604854519608
1,88,1.0,0.9762504936564125
1,52,1.0,0.9704017769489168
1,2,0.0,0.0
1,21,1.0,0.9416796087056153
1,10,0.0,0.0
1,95,1.0,0.9332298921513504
1,48,1.0,0.93603800616986
1,94,1.0,0.985089730404757
1,48,1.0,0.9332298921513504
1,59,1.0,0.9762504936564125
1,18,1.0,0.7958514863018556
1,79,1.0,0.9616943356035061
1,17,1.0,0.857932408958235
1,97,1.0,0.9388545698794984
1,93,1.0,0.9138075656044898
1,55,1.0,0.8709180316048211
1,92,1.0,0.9138075656044898
1,23,1.0,0.776950406379376
1,20,1.0,0.9388545698794984
1,2,0.0,0.0
1,74,1.0,0.9821344612135428
1,67,1.0,0.9416796087056153
1,67,1.0,0.9276389118674717
1,40,1.0,0.9388545698794984
1,91,1.0,0.9248559951318693
1,4,0.0,0.0
1,22,1.0,0.8867604854519608
1,42,1.0,0.9502058312852957
1,100,1.0,0.9645880999032158
1,24,1.0,0.8300415167526705
1,30,1.0,0.9220814271464737
1,52,1.0,0.9674905716180701
1,40,1.0,0.9248559951318693
1,37,1.0,0.8974819010978248
1,88,1.0,0.9762504936564125
1,50,1.0,0.9762504936564125
1,65,1.0,0.9762504936564125
1,56,1.0,0.9248559951318693
1,1,0.0,0.0
1,96,1.0,0.9616943356035061
1,47,1.0,0.9791880578299021
1,18,0.0,0.0
1,46,1.0,0.9762504936564125
1,75,1.0,0.9704017769489168
1,63,1.0,0.9674905716180701
1,32,0.0,0.0
1,4,0.0,0.0
1,76,1.0,0.9588092525966956
1,80,1.0,0.9530650263643888
1,55,1.0,0.9559328248389055
1,46,1.0,0.93603800616986
1,19,1.0,0.9083329444789534
1,5,0.0,0.0
1,13,1.0,0.93603800616986
1,5,0.0,0.0
1,21,1.0,0.90289112180858
1,42,1.0,0.9559328248389055
1,28,1.0,0.9304302024748964
1,92,1.0,0.9674905716180701
1,73,1.0,0.9674905716180701
1,1,0.0,0.0
1,92,1.0,0.9762504936564125
1,52,1.0,0.9674905716180701
1,70,1.0,0.9821344612135428
1,85,1.0,0.9733217421754432
1,90,1.0,0.9704017769489168
