,Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
555477,500,0.04,-0.12,-0.2,0.2,20,500.0,259.12410747446273
264616,500,0.12,0.0,0.12,-0.0399999999999999,58,500.0,259.12410747446273
927399,500,-0.2,-0.16,-0.0399999999999999,0.16,99,500.0,259.12410747446273
143281,500,-0.16,-0.0799999999999999,-0.0399999999999999,-0.0799999999999999,2,332.0,210.399533767009
1010229,500,0.12,-0.2,-0.16,0.0,30,233.0,167.81327454936869
767871,500,-0.16,-0.0399999999999999,0.16,0.2,63,243.0,172.71237416868487
479418,500,0.12,-0.0399999999999999,0.16,0.16,15,500.0,259.12410747446273
349731,500,0.12,0.12,-0.2,0.2,99,347.0,215.81687904571703
203263,500,0.04,0.08,0.16,0.2,34,170.0,133.3215149211183
1029535,500,0.2,0.16,0.04,0.04,46,500.0,259.12410747446273
145583,500,0.2,0.04,-0.12,-0.0799999999999999,57,457.0,248.88985897321123
729548,500,-0.0399999999999999,0.08,0.16,-0.16,4,396.0,231.9044984644287
272974,500,-0.0799999999999999,0.04,-0.16,0.2,32,476.0,253.57536152472505
344564,500,-0.0399999999999999,-0.12,-0.0399999999999999,0.2,17,500.0,259.12410747446273
161006,500,0.2,-0.12,0.0,0.12,15,500.0,259.12410747446273
1051198,500,-0.12,0.12,0.08,-0.0799999999999999,77,236.0,169.2984905058788
805933,500,-0.12,-0.0799999999999999,-0.0799999999999999,0.12,2,257.0,179.32847152531238
111951,500,-0.12,0.12,-0.12,-0.16,82,500.0,259.12410747446273
150939,500,-0.0399999999999999,-0.0799999999999999,-0.0399999999999999,-0.0799999999999999,1,14.0,13.730249134434766
541355,500,0.16,0.16,0.04,-0.2,12,478.0,254.0531915338304
705844,500,0.08,-0.0799999999999999,-0.0399999999999999,0.2,30,323.0,207.0299803520688
706500,500,-0.12,0.04,0.16,-0.16,88,355.0,218.60783682229663
293432,500,0.2,0.16,0.12,0.0,58,395.0,231.5992963534892
137972,500,-0.16,-0.16,0.08,0.08,11,500.0,259.12410747446273
914778,500,0.08,-0.12,0.16,0.04,36,191.0,145.55132358711683
768947,500,-0.16,-0.0399999999999999,-0.0399999999999999,-0.16,80,500.0,259.12410747446273
760583,500,-0.16,-0.16,-0.0799999999999999,-0.2,64,305.0,200.01126876603976
414977,500,-0.12,0.12,0.12,-0.0799999999999999,56,360.0,220.3184249047243
810476,500,0.16,-0.12,0.2,-0.2,12,500.0,259.12410747446273
629388,500,-0.0799999999999999,-0.12,0.08,0.2,58,500.0,259.12410747446273
287962,500,0.12,-0.2,0.04,-0.12,7,236.0,169.2984905058788
276311,500,-0.16,0.04,-0.16,-0.2,94,228.0,165.30797109962572
632134,500,0.0,0.12,0.0,0.16,92,500.0,259.12410747446273
1034137,500,-0.0399999999999999,-0.0399999999999999,0.0,0.12,97,500.0,259.12410747446273
173653,500,0.0,-0.12,0.16,0.12,68,360.0,220.3184249047243
354511,500,0.16,-0.12,-0.0399999999999999,-0.16,44,500.0,259.12410747446273
570871,500,0.2,-0.16,0.2,-0.2,83,500.0,259.12410747446273
114549,500,0.0,0.08,-0.16,-0.16,39,424.0,240.088265458039
160561,500,0.2,0.0,-0.2,-0.12,74,171.0,133.92155037635496
850705,500,-0.16,0.2,-0.16,-0.0399999999999999,81,489.0,256.6305436257705
521024,500,-0.2,0.08,-0.0399999999999999,-0.0799999999999999,99,500.0,259.12410747446273
715275,500,0.12,0.0,-0.0399999999999999,-0.16,37,430.0,241.75413883481087
967006,500,0.0,0.2,0.16,-0.2,34,272.0,186.1150307462666
624203,500,-0.16,-0.2,0.2,0.2,95,240.0,171.25806844077178
910331,500,0.16,-0.0399999999999999,-0.12,-0.2,11,500.0,259.12410747446273
853839,500,0.08,0.0,0.12,0.12,71,366.0,222.3374971347035
161924,500,-0.2,-0.2,-0.0399999999999999,-0.2,83,344.0,214.7528531957697
369571,500,-0.0399999999999999,-0.0799999999999999,0.12,0.0,15,220.0,161.22037326261247
385887,500,0.0,-0.12,-0.16,0.08,24,275.0,187.4360245502745
427009,500,0.2,-0.0799999999999999,0.04,-0.2,52,500.0,259.12410747446273
306089,500,0.08,0.08,-0.16,0.04,46,500.0,259.12410747446273
718656,500,0.16,0.16,0.08,-0.16,99,297.0,196.76790731449051
582370,500,-0.2,-0.12,0.0,0.12,72,500.0,259.12410747446273
289854,500,0.04,-0.0799999999999999,-0.12,0.16,11,496.0,258.2268776494495
194965,500,-0.12,0.04,0.12,-0.0799999999999999,44,311.0,202.3931392816573
423359,500,-0.12,0.12,0.12,0.08,88,196.0,148.35120397756944
720294,500,0.08,0.16,0.0,0.04,30,500.0,259.12410747446273
128781,500,0.12,-0.0399999999999999,-0.12,-0.0799999999999999,40,221.0,161.73671214282464
690033,500,-0.0799999999999999,0.0,-0.2,0.2,39,318.0,205.1182590280022
360712,500,-0.0799999999999999,0.2,-0.16,0.08,57,500.0,259.12410747446273
277823,500,0.16,0.2,-0.16,0.16,76,387.0,229.12438528065348
194475,500,0.16,0.2,0.04,0.2,80,269.0,184.78207630607707
185427,500,-0.2,-0.2,0.12,0.16,37,500.0,259.12410747446273
581637,500,-0.12,-0.2,-0.16,0.12,6,500.0,259.12410747446273
745034,500,0.16,-0.16,0.0,-0.0399999999999999,64,392.0,230.6781687903556
563536,500,-0.2,-0.0399999999999999,0.16,-0.16,62,483.0,255.23527982161005
615084,500,-0.0399999999999999,-0.2,0.16,0.0,17,376.0,225.62277665225207
601142,500,-0.2,-0.2,-0.2,-0.12,94,128.0,106.42052584416837
370243,500,-0.2,0.04,0.12,-0.0799999999999999,20,474.0,253.0946515823549
775956,500,0.2,0.0,0.2,0.2,24,164.0,129.68319548451285
576016,500,0.0,0.0,-0.16,0.04,34,332.0,210.399533767009
554263,500,-0.0399999999999999,-0.12,-0.2,0.04,19,158.0,125.97869311717926
194334,500,-0.2,0.04,0.04,0.08,97,459.0,249.39575982810277
878658,500,0.04,0.0,0.16,-0.16,49,407.0,235.201891907462
437571,500,-0.0399999999999999,0.12,0.2,0.16,92,163.0,129.07040670462672
640788,500,0.2,0.08,-0.0399999999999999,0.0,64,500.0,259.12410747446273
424443,500,-0.16,0.16,-0.16,0.08,22,500.0,259.12410747446273
108837,500,0.04,-0.2,0.2,-0.0799999999999999,20,297.0,196.76790731449051
747139,500,-0.12,0.04,0.0,-0.0799999999999999,1,25.0,24.120362710842777
13816,500,0.2,-0.0399999999999999,0.12,-0.0399999999999999,35,500.0,259.12410747446273
595118,500,0.12,-0.0399999999999999,-0.12,-0.16,23,500.0,259.12410747446273
753461,500,-0.0799999999999999,-0.16,0.2,0.04,56,362.0,220.9954972211201
543305,500,0.08,-0.0799999999999999,-0.0399999999999999,0.16,50,500.0,259.12410747446273
