,Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
263123,500,-0.03,0.02,-0.0199999999999999,-0.0199999999999999,100,500.0,259.12410747446273
255095,500,0.01,0.04,0.0,0.0,73,500.0,259.12410747446273
283064,500,-0.0199999999999999,0.04,-0.0199999999999999,-0.04,64,500.0,259.12410747446273
174166,500,0.03,-0.04,-0.04,-0.05,56,302.0,198.8041346338207
265416,500,0.02,-0.0199999999999999,0.05,0.05,22,278.0,188.74516504121223
128468,500,0.0,-0.05,-0.04,0.0,51,500.0,259.12410747446273
74891,500,0.03,-0.04,0.0,0.04,91,500.0,259.12410747446273
70096,500,0.02,-0.04,0.02,0.02,49,500.0,259.12410747446273
296882,500,0.04,-0.0099999999999999,0.0,-0.04,40,500.0,259.12410747446273
199601,500,-0.0199999999999999,-0.05,-0.0099999999999999,0.02,77,500.0,259.12410747446273
78744,500,-0.0199999999999999,-0.0199999999999999,-0.0199999999999999,-0.03,42,500.0,259.12410747446273
167715,500,0.01,0.02,-0.0099999999999999,0.0,81,500.0,259.12410747446273
170624,500,-0.0099999999999999,-0.05,0.0,-0.0199999999999999,10,500.0,259.12410747446273
68558,500,-0.03,-0.03,0.04,-0.03,97,500.0,259.12410747446273
98057,500,-0.03,0.0,-0.03,-0.04,94,500.0,259.12410747446273
238889,500,-0.0099999999999999,0.02,0.0,0.03,88,500.0,259.12410747446273
90815,500,0.05,0.02,-0.0199999999999999,-0.0099999999999999,87,500.0,259.12410747446273
88329,500,0.02,-0.03,-0.03,0.04,39,500.0,259.12410747446273
240497,500,0.02,-0.04,0.03,0.04,87,500.0,259.12410747446273
108648,500,-0.0099999999999999,-0.05,0.05,-0.04,37,500.0,259.12410747446273
56970,500,0.05,0.03,0.0,-0.0099999999999999,1,25.0,24.120362710842777
116203,500,0.03,0.02,0.01,-0.03,37,380.0,226.9094985863798
151951,500,-0.03,0.0,-0.05,0.0,42,390.0,230.05945498517175
42582,500,-0.0099999999999999,0.0,0.02,0.02,71,500.0,259.12410747446273
129838,500,0.05,-0.03,0.03,-0.0199999999999999,44,500.0,259.12410747446273
68742,500,0.01,-0.0099999999999999,0.05,0.02,62,500.0,259.12410747446273
124038,500,0.0,0.02,-0.04,-0.04,64,500.0,259.12410747446273
115180,500,0.04,0.03,0.01,0.02,58,477.0,253.81463544015085
299370,500,0.02,0.05,-0.04,0.03,7,258.0,179.79048611073645
105033,500,-0.03,0.05,-0.0199999999999999,0.0,64,500.0,259.12410747446273
116641,500,-0.05,0.0,0.03,-0.0199999999999999,28,292.0,194.70085975883944
226921,500,-0.03,0.03,0.02,0.03,91,500.0,259.12410747446273
209522,500,0.01,-0.03,-0.0099999999999999,-0.0099999999999999,94,495.0,258.0008802903204
264512,500,-0.03,-0.05,0.01,0.0,24,500.0,259.12410747446273
22289,500,0.01,-0.05,0.04,0.0,12,402.0,233.71657924784432
134138,500,0.05,0.01,0.03,0.0,72,500.0,259.12410747446273
251079,500,0.0,0.04,-0.0099999999999999,-0.0099999999999999,16,500.0,259.12410747446273
97918,500,0.05,-0.0099999999999999,0.03,-0.04,49,500.0,259.12410747446273
