,Temperature,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Simulations,Return,Discounted Return
392109,500,-0.12,-0.12,0.12,0.2,95,318.0,205.1182590280022
185443,500,-0.16,-0.16,-0.12,-0.2,63,202.0,151.65600938437632
661612,500,0.16,0.0,0.04,0.12,45,500.0,259.12410747446273
744658,500,0.0,0.08,0.0,-0.12,4,190.0,144.98628243442008
885198,500,-0.2,0.12,-0.0399999999999999,-0.16,56,500.0,259.12410747446273
524430,500,0.04,-0.0399999999999999,0.2,0.16,64,159.0,126.60075703782772
450550,500,0.08,0.16,0.04,-0.0399999999999999,19,374.0,224.97359345061471
952735,500,-0.16,0.12,0.16,-0.0799999999999999,11,435.0,243.11960931409905
944289,500,-0.0399999999999999,-0.2,-0.2,0.16,80,214.0,158.08954862990785
1038215,500,0.2,0.12,-0.2,-0.16,30,236.0,169.2984905058788
552992,500,-0.0399999999999999,0.12,0.08,0.0,16,387.0,229.12438528065348
507135,500,-0.16,0.12,-0.0799999999999999,-0.0399999999999999,49,500.0,259.12410747446273
1006659,500,0.08,0.16,-0.16,-0.16,99,418.0,238.39208897451192
4960,500,-0.0399999999999999,0.12,0.12,-0.2,64,500.0,259.12410747446273
375731,500,-0.12,-0.0799999999999999,-0.16,0.16,61,456.0,248.63576627202733
920035,500,-0.12,0.04,-0.16,-0.16,44,178.0,138.0716968712917
529415,500,-0.16,0.16,0.04,0.04,97,500.0,259.12410747446273
1032917,500,-0.12,-0.12,0.2,0.2,62,188.0,143.8510943406147
451277,500,-0.0399999999999999,0.2,-0.0399999999999999,-0.12,88,500.0,259.12410747446273
511850,500,0.2,-0.0399999999999999,0.04,0.16,16,500.0,259.12410747446273
226003,500,0.16,0.16,0.08,0.0,24,500.0,259.12410747446273
829272,500,0.2,0.08,0.12,-0.16,15,497.0,258.45219701650115
491387,500,-0.0799999999999999,0.08,0.2,-0.16,1,11.0,10.836476127309975
293358,500,-0.2,-0.16,-0.2,0.04,6,117.0,98.79584620344134
